area,city,store_code,small_class_code,日期,月份,第几周,节假日,当天是否放假,本次节假日天数,星期,早上天气状态,晚上天气状态,最高气温,最低气温,早晚气温均值,每日温差,早上风向,早上风力,晚上风向,晚上风力,商圈整理修改,上一周总销量,上周每天平均销量,上周每天平均销量(round),上周对应星期销量,上月日平均销量,上月周平均,近一个月平均销量,sales_number
4|华北区,401|北京,BJACL,10101,2018/3/2,3,9,0,0,0,5,晴 ,多云,10,-1,4.5,2,北风,<3级,北风,<3级,O|办公类,17,8.5,9,9,10.925,22,19.31818182,20
4|华北区,401|北京,BJACL,10101,2018/3/5,3,10,0,0,0,1,晴 ,晴,8,-4,2,-2.5,南风,<3级,东南风,<3级,O|办公类,17,8.5,9,21,10.925,16.75,19.31818182,1
4|华北区,401|北京,BJACL,10101,2018/3/6,3,10,0,0,0,2,多云 ,阴,6,-3,1.5,-0.5,东南风,<3级,东南风,<3级,O|办公类,17,8.5,9,15,10.925,0,19.31818182,5
4|华北区,401|北京,BJACL,10101,2018/3/7,3,10,0,0,0,3,阴 ,多云,6,-2,2,0.5,北风,<3级,东北风,<3级,O|办公类,17,8.5,9,7,10.925,31.25,19.31818182,14
4|华北区,401|北京,BJACL,10101,2018/3/8,3,10,0,0,0,4,晴 ,晴,7,-4,1.5,-0.5,南风,<3级,南风,<3级,O|办公类,17,8.5,9,8,10.925,24.5,19.31818182,96
4|华北区,401|北京,BJACL,10101,2018/3/9,3,10,0,0,0,5,多云 ,多云,10,-2,4,2.5,西南风,<3级,东北风,<3级,O|办公类,17,8.5,9,9,10.925,25.25,19.31818182,12
4|华北区,401|北京,BJACL,10101,2018/3/12,3,11,0,0,0,1,多云 ,晴,15,3,9,5,南风,<3级,北风,<3级,O|办公类,71,14.2,14,21,10.925,25.5,19.31818182,33
4|华北区,401|北京,BJACL,10101,2018/3/13,3,11,0,0,0,2,晴 ,多云,17,5,11,2,南风,<3级,东北风,<3级,O|办公类,71,14.2,14,15,10.925,25.5,19.31818182,2
4|华北区,401|北京,BJACL,10101,2018/3/14,3,11,0,0,0,3,多云 ,阴,15,6,10.5,-0.5,东北风,<3级,东北风,3～4级,O|办公类,71,14.2,14,7,10.925,25.5,19.31818182,38
4|华北区,401|北京,BJACL,10101,2018/3/15,3,11,0,0,0,4,多云 ,晴,12,-1,5.5,-5,北风,4～5级,东风,<3级,O|办公类,71,14.2,14,17,10.925,25.5,19.31818182,8
